system,input,source,accuracy,macro_f1,macro_f1_over_baseline
majority baseline,none,this run,0.5238095238095238,0.34375,0.0
"majority baseline (audit, Arm A ref.)",none,AUDIT_generic-antiphony.md §4,0.5333,0.3478,0.004
"full model (deberta-v3-base, dual-stream)",full dialogue,"AUDIT_generic-antiphony.md §4 (Arm A ref., NOT re-run here)",0.9733,0.9733,0.6296
last-turn-only (roberta-base),final Buyer turn ONLY,"AUDIT_generic-antiphony.md §6 (Arm A ref., NOT re-run here)",0.9733,0.9732,0.6294
last-turn-removed,full dialogue MINUS final Buyer turn,this run,0.9523809523809523,0.9523117449359615,0.6086
last-turn+merchant-removed,full dialogue MINUS final Buyer turn and any trailing Merchant courtesy turn(s),this run,0.9142857142857143,0.9141611408847308,0.5704
first-half-only,first ~50% of turns,this run,0.8476190476190476,0.8474945533769063,0.5037
pre-reversal-only,"reversal-tagged dialogues, truncated before reversal_turn_id",this run,0.95,0.949874686716792,0.6061
